office,district,candidate,party,county,votes
State Representative,24,ROGER THOMAS,Democrat,Fayette,1678
State Representative,24,OVER VOTES,,Fayette,0
State Representative,24,UNDER VOTES,,Fayette,511
State Representative,24,SCATTERING,,Fayette,24
State Representative,24,TOTAL,,Fayette,2213
State Representative,24,ROGER THOMAS,Democrat,Total,10578
State Representative,24,OVER VOTES,,Total,0
State Representative,24,UNDER VOTES,,Total,511
State Representative,24,SCATTERING,,Total,132
State Representative,24,TOTAL,,Total,11221
State Representative,25,TOM SCHUELLER,Democrat,Clinton,1221
State Representative,25,OVER VOTES,,Clinton,0
State Representative,25,UNDER VOTES,,Clinton,540
State Representative,25,SCATTERING,,Clinton,17
State Representative,25,TOTAL,,Clinton,1778
State Representative,25,TOM SCHUELLER,Democrat,Dubuque,2114
State Representative,25,OVER VOTES,,Dubuque,0
State Representative,25,UNDER VOTES,,Dubuque,755
State Representative,25,SCATTERING,,Dubuque,11
State Representative,25,TOTAL,,Dubuque,2880
State Representative,25,TOM SCHUELLER,Democrat,Jackson,7783
State Representative,25,OVER VOTES,,Jackson,0
State Representative,25,UNDER VOTES,,Jackson,0
State Representative,25,SCATTERING,,Jackson,112
State Representative,25,TOTAL,,Jackson,7895
State Representative,25,TOM SCHUELLER,Democrat,Total,11118
State Representative,25,OVER VOTES,,Total,0
State Representative,25,UNDER VOTES,,Total,1295
State Representative,25,SCATTERING,,Total,140
State Representative,25,TOTAL,,Total,12553
State Representative,26,POLLY BUKTA,Democrat,Clinton,8351
State Representative,26,JONATHAN VAN ROEKEL,Republican,Clinton,4834
State Representative,26,OVER VOTES,,Clinton,6
State Representative,26,UNDER VOTES,,Clinton,412
State Representative,26,SCATTERING,,Clinton,13
State Representative,26,TOTAL,,Clinton,13616
State Representative,26,POLLY BUKTA,Democrat,Total,8351
State Representative,26,JONATHAN VAN ROEKEL,Republican,Total,4834
State Representative,26,OVER VOTES,,Total,6
State Representative,26,UNDER VOTES,,Total,412
State Representative,26,SCATTERING,,Total,13
State Representative,26,TOTAL,,Total,13616
State Representative,27,CHARLES ISENHART,Democrat,Dubuque,8903
State Representative,27,LOU OSWALD,Republican,Dubuque,4814
State Representative,27,OVER VOTES,,Dubuque,0
State Representative,27,UNDER VOTES,,Dubuque,1038
State Representative,27,SCATTERING,,Dubuque,21
State Representative,27,TOTAL,,Dubuque,14776
State Representative,27,CHARLES ISENHART,Democrat,Total,8903
State Representative,27,LOU OSWALD,Republican,Total,4814
State Representative,27,OVER VOTES,,Total,0
State Representative,27,UNDER VOTES,,Total,1038
State Representative,27,SCATTERING,,Total,21
State Representative,27,TOTAL,,Total,14776
State Representative,28,PAT MURPHY,Democrat,Dubuque,9518
State Representative,28,DARREN D. WHITE,Republican,Dubuque,4227
State Representative,28,OVER VOTES,,Dubuque,2
State Representative,28,UNDER VOTES,,Dubuque,838
State Representative,28,SCATTERING,,Dubuque,26
State Representative,28,TOTAL,,Dubuque,14611
State Representative,28,PAT MURPHY,Democrat,Total,9518
State Representative,28,DARREN D. WHITE,Republican,Total,4227
State Representative,28,OVER VOTES,,Total,2
State Representative,28,UNDER VOTES,,Total,838
State Representative,28,SCATTERING,,Total,26
State Representative,28,TOTAL,,Total,14611
State Representative,29,NATE WILLEMS,Democrat,Johnson,4777
State Representative,29,EMMA NEMECEK,Republican,Johnson,3516
State Representative,29,OVER VOTES,,Johnson,1
State Representative,29,UNDER VOTES,,Johnson,671
State Representative,29,SCATTERING,,Johnson,17
State Representative,29,TOTAL,,Johnson,8982
State Representative,29,NATE WILLEMS,Democrat,Linn,5747
State Representative,29,EMMA NEMECEK,Republican,Linn,3953
State Representative,29,OVER VOTES,,Linn,0
State Representative,29,UNDER VOTES,,Linn,521
State Representative,29,SCATTERING,,Linn,5
State Representative,29,TOTAL,,Linn,10226
State Representative,29,NATE WILLEMS,Democrat,Total,10524
State Representative,29,EMMA NEMECEK,Republican,Total,7469
State Representative,29,OVER VOTES,,Total,1
State Representative,29,UNDER VOTES,,Total,1192
State Representative,29,SCATTERING,,Total,22
State Representative,29,TOTAL,,Total,19208
State Representative,30,DAVE JACOBY,Democrat,Johnson,15851
State Representative,30,OVER VOTES,,Johnson,2
State Representative,30,UNDER VOTES,,Johnson,5476
State Representative,30,SCATTERING,,Johnson,279
State Representative,30,TOTAL,,Johnson,21608
State Representative,30,DAVE JACOBY,Democrat,Total,15851
State Representative,30,OVER VOTES,,Total,2
State Representative,30,UNDER VOTES,,Total,5476
State Representative,30,SCATTERING,,Total,279
State Representative,30,TOTAL,,Total,21608
State Representative,31,RAY ZIRKELBACH,Democrat,Dubuque,3508
State Representative,31,DENA HIMES,Republican,Dubuque,1694
State Representative,31,OVER VOTES,,Dubuque,0
State Representative,31,UNDER VOTES,,Dubuque,437
State Representative,31,SCATTERING,,Dubuque,0
State Representative,31,TOTAL,,Dubuque,5639
State Representative,31,RAY ZIRKELBACH,Democrat,Jones,6310
State Representative,31,DENA HIMES,Republican,Jones,3402
State Representative,31,OVER VOTES,,Jones,0
State Representative,31,UNDER VOTES,,Jones,360
State Representative,31,SCATTERING,,Jones,8
State Representative,31,TOTAL,,Jones,10080
State Representative,31,RAY ZIRKELBACH,Democrat,Total,9818
State Representative,31,DENA HIMES,Republican,Total,5096
State Representative,31,OVER VOTES,,Total,0
State Representative,31,UNDER VOTES,,Total,797
State Representative,31,SCATTERING,,Total,8
State Representative,31,TOTAL,,Total,15719
State Representative,32,TOM AVENARIUS,Democrat,Delaware,1657
State Representative,32,STEVEN F. LUKAN,Republican,Delaware,4497
State Representative,32,OVER VOTES,,Delaware,0
State Representative,32,UNDER VOTES,,Delaware,0
State Representative,32,SCATTERING,,Delaware,0
State Representative,32,TOTAL,,Delaware,6154
State Representative,32,TOM AVENARIUS,Democrat,Dubuque,3359
State Representative,32,STEVEN F. LUKAN,Republican,Dubuque,6228
State Representative,32,OVER VOTES,,Dubuque,1
State Representative,32,UNDER VOTES,,Dubuque,372
State Representative,32,SCATTERING,,Dubuque,2
State Representative,32,TOTAL,,Dubuque,9962
State Representative,32,TOM AVENARIUS,Democrat,Total,5016
State Representative,32,STEVEN F. LUKAN,Republican,Total,10725
State Representative,32,OVER VOTES,,Total,1
State Representative,32,UNDER VOTES,,Total,372
State Representative,32,SCATTERING,,Total,2
State Representative,32,TOTAL,,Total,16116
State Representative,33,DICK TAYLOR,Democrat,Linn,9273
State Representative,33,KATHY POTTS,Republican,Linn,3996
State Representative,33,OVER VOTES,,Linn,6
State Representative,33,UNDER VOTES,,Linn,1080
State Representative,33,SCATTERING,,Linn,26
State Representative,33,TOTAL,,Linn,14381
State Representative,33,DICK TAYLOR,Democrat,Total,9273
State Representative,33,KATHY POTTS,Republican,Total,3996
State Representative,33,OVER VOTES,,Total,6
State Representative,33,UNDER VOTES,,Total,1080
State Representative,33,SCATTERING,,Total,26
State Representative,33,TOTAL,,Total,14381
State Representative,34,TODD TAYLOR,Democrat,Linn,11625
State Representative,34,OVER VOTES,,Linn,5
State Representative,34,UNDER VOTES,,Linn,3937
State Representative,34,SCATTERING,,Linn,182
State Representative,34,TOTAL,,Linn,15749
State Representative,34,TODD TAYLOR,Democrat,Total,11625
State Representative,34,OVER VOTES,,Total,5
State Representative,34,UNDER VOTES,,Total,3937
State Representative,34,SCATTERING,,Total,182
State Representative,34,TOTAL,,Total,15749
State Representative,35,MIKE ROBINSON,Democrat,Linn,7565
State Representative,35,KRAIG PAULSEN,Republican,Linn,10623
State Representative,35,OVER VOTES,,Linn,0
State Representative,35,UNDER VOTES,,Linn,1338
State Representative,35,SCATTERING,,Linn,20
State Representative,35,TOTAL,,Linn,19546
State Representative,35,MIKE ROBINSON,Democrat,Total,7565
State Representative,35,KRAIG PAULSEN,Republican,Total,10623
State Representative,35,OVER VOTES,,Total,0
State Representative,35,UNDER VOTES,,Total,1338
State Representative,35,SCATTERING,,Total,20
State Representative,35,TOTAL,,Total,19546
State Representative,36,GRETCHEN LAWYER,Democrat,Linn,8634
State Representative,36,NICK WAGNER,Republican,Linn,10737
State Representative,36,OVER VOTES,,Linn,3
State Representative,36,UNDER VOTES,,Linn,809
State Representative,36,SCATTERING,,Linn,23
State Representative,36,TOTAL,,Linn,20206
State Representative,36,GRETCHEN LAWYER,Democrat,Total,8634
State Representative,36,NICK WAGNER,Republican,Total,10737
State Representative,36,OVER VOTES,,Total,3
State Representative,36,UNDER VOTES,,Total,809
State Representative,36,SCATTERING,,Total,23
State Representative,36,TOTAL,,Total,20206
State Representative,37,ART STAED,Democrat,Linn,8615
State Representative,37,RENEE SCHULTE,Republican,Linn,8628
State Representative,37,OVER VOTES,,Linn,1
State Representative,37,UNDER VOTES,,Linn,889
State Representative,37,SCATTERING,,Linn,29
State Representative,37,TOTAL,,Linn,18162
State Representative,37,ART STAED,Democrat,Total,8615
State Representative,37,RENEE SCHULTE,Republican,Total,8628
State Representative,37,OVER VOTES,,Total,1
State Representative,37,UNDER VOTES,,Total,889
State Representative,37,SCATTERING,,Total,29
State Representative,37,TOTAL,,Total,18162
State Representative,38,TYLER OLSON,Democrat,Linn,11571
State Representative,38,OVER VOTES,,Linn,2
State Representative,38,UNDER VOTES,,Linn,3670
State Representative,38,SCATTERING,,Linn,213
State Representative,38,TOTAL,,Linn,15456
State Representative,38,TYLER OLSON,Democrat,Total,11571
State Representative,38,OVER VOTES,,Total,2
State Representative,38,UNDER VOTES,,Total,3670
State Representative,38,SCATTERING,,Total,213
State Representative,38,TOTAL,,Total,15456
State Representative,39,TERRY HERTLE,Democrat,Benton,6042
State Representative,39,DAWN PETTENGILL,Republican,Benton,7361
State Representative,39,OVER VOTES,,Benton,1
State Representative,39,UNDER VOTES,,Benton,293
State Representative,39,SCATTERING,,Benton,7
State Representative,39,TOTAL,,Benton,13704
State Representative,39,TERRY HERTLE,Democrat,Iowa,851
State Representative,39,DAWN PETTENGILL,Republican,Iowa,930
State Representative,39,OVER VOTES,,Iowa,1
State Representative,39,UNDER VOTES,,Iowa,0
State Representative,39,SCATTERING,,Iowa,0
State Representative,39,TOTAL,,Iowa,1782
State Representative,39,TERRY HERTLE,Democrat,Total,6893
State Representative,39,DAWN PETTENGILL,Republican,Total,8291
State Representative,39,OVER VOTES,,Total,2
State Representative,39,UNDER VOTES,,Total,293
State Representative,39,SCATTERING,,Total,7
State Representative,39,TOTAL,,Total,15486
State Representative,40,CHRIS BEARDEN,Democrat,Grundy,1980
State Representative,40,LANCE HORBACH,Republican,Grundy,4542
State Representative,40,OVER VOTES,,Grundy,1
State Representative,40,UNDER VOTES,,Grundy,365
State Representative,40,SCATTERING,,Grundy,2
State Representative,40,TOTAL,,Grundy,6890
State Representative,40,CHRIS BEARDEN,Democrat,Tama,3807
State Representative,40,LANCE HORBACH,Republican,Tama,4370
State Representative,40,OVER VOTES,,Tama,6
State Representative,40,UNDER VOTES,,Tama,230
State Representative,40,SCATTERING,,Tama,3
State Representative,40,TOTAL,,Tama,8416
State Representative,40,CHRIS BEARDEN,Democrat,Total,5787
State Representative,40,LANCE HORBACH,Republican,Total,8912
State Representative,40,OVER VOTES,,Total,7
State Representative,40,UNDER VOTES,,Total,595
State Representative,40,SCATTERING,,Total,5
State Representative,40,TOTAL,,Total,15306
State Representative,41,PAUL BELL,Democrat,Jasper,8885
State Representative,41,ADAM VANDALL,Republican,Jasper,5833
State Representative,41,OVER VOTES,,Jasper,7
State Representative,41,UNDER VOTES,,Jasper,575
State Representative,41,SCATTERING,,Jasper,11
State Representative,41,TOTAL,,Jasper,15311
State Representative,41,PAUL BELL,Democrat,Total,8885
State Representative,41,ADAM VANDALL,Republican,Total,5833
State Representative,41,OVER VOTES,,Total,7
State Representative,41,UNDER VOTES,,Total,575
State Representative,41,SCATTERING,,Total,11
State Representative,41,TOTAL,,Total,15311
State Representative,42,GERI HUSER,Democrat,Jasper,2062
State Representative,42,OVER VOTES,,Jasper,0
State Representative,42,UNDER VOTES,,Jasper,836
State Representative,42,SCATTERING,,Jasper,30
State Representative,42,TOTAL,,Jasper,2928
State Representative,42,GERI HUSER,Democrat,Polk,10139
State Representative,42,OVER VOTES,,Polk,1
State Representative,42,UNDER VOTES,,Polk,5246
State Representative,42,SCATTERING,,Polk,373
State Representative,42,TOTAL,,Polk,15759
State Representative,42,GERI HUSER,Democrat,Total,12201
State Representative,42,OVER VOTES,,Total,1
State Representative,42,UNDER VOTES,,Total,6082
State Representative,42,SCATTERING,,Total,403
State Representative,42,TOTAL,,Total,18687
State Representative,43,MARK SMITH,Democrat,Marshall,7325
State Representative,43,JANE JECH,Republican,Marshall,5557
State Representative,43,OVER VOTES,,Marshall,9
State Representative,43,UNDER VOTES,,Marshall,316
State Representative,43,SCATTERING,,Marshall,6
State Representative,43,TOTAL,,Marshall,13213
State Representative,43,MARK SMITH,Democrat,Total,7325
State Representative,43,JANE JECH,Republican,Total,5557
State Representative,43,OVER VOTES,,Total,9
State Representative,43,UNDER VOTES,,Total,316
State Representative,43,SCATTERING,,Total,6
State Representative,43,TOTAL,,Total,13213
State Representative,44,TIM HOY,Democrat,Franklin,13
State Representative,44,ANNETTE SWEENEY,Republican,Franklin,15
State Representative,44,OVER VOTES,,Franklin,0
State Representative,44,UNDER VOTES,,Franklin,0
State Representative,44,SCATTERING,,Franklin,0
State Representative,44,TOTAL,,Franklin,28
State Representative,44,TIM HOY,Democrat,Hardin,3949
State Representative,44,ANNETTE SWEENEY,Republican,Hardin,4739
State Representative,44,OVER VOTES,,Hardin,3
State Representative,44,UNDER VOTES,,Hardin,249
State Representative,44,SCATTERING,,Hardin,5
State Representative,44,TOTAL,,Hardin,8945
State Representative,44,TIM HOY,Democrat,Marshall,2558
State Representative,44,ANNETTE SWEENEY,Republican,Marshall,2754
State Representative,44,OVER VOTES,,Marshall,0
State Representative,44,UNDER VOTES,,Marshall,229
State Representative,44,SCATTERING,,Marshall,8
State Representative,44,TOTAL,,Marshall,5549
State Representative,44,TIM HOY,Democrat,Total,6520
State Representative,44,ANNETTE SWEENEY,Republican,Total,7508
State Representative,44,OVER VOTES,,Total,3
State Representative,44,UNDER VOTES,,Total,478
State Representative,44,SCATTERING,,Total,13
State Representative,44,TOTAL,,Total,14522
State Representative,45,BETH WESSEL- KROESCHELL,Democrat,Story,8589
State Representative,45,RYAN RHODES,Republican,Story,6168
State Representative,45,OVER VOTES,,Story,26
State Representative,45,UNDER VOTES,,Story,1677
State Representative,45,SCATTERING,,Story,51
State Representative,45,TOTAL,,Story,16511
State Representative,45,BETH WESSEL- KROESCHELL,Democrat,Total,8589
State Representative,45,RYAN RHODES,Republican,Total,6168
State Representative,45,OVER VOTES,,Total,26
State Representative,45,UNDER VOTES,,Total,1677
State Representative,45,SCATTERING,,Total,51
State Representative,45,TOTAL,,Total,16511
State Representative,46,LISA HEDDENS,Democrat,Boone,1621
State Representative,46,ERIC COOPER,Libertarian Party,Boone,458
State Representative,46,OVER VOTES,,Boone,0
State Representative,46,UNDER VOTES,,Boone,441
State Representative,46,SCATTERING,,Boone,14
State Representative,46,TOTAL,,Boone,2534
State Representative,46,LISA HEDDENS,Democrat,Story,10332
State Representative,46,ERIC COOPER,Libertarian Party,Story,2666
State Representative,46,OVER VOTES,,Story,46
State Representative,46,UNDER VOTES,,Story,2735
State Representative,46,SCATTERING,,Story,39
State Representative,46,TOTAL,,Story,15818
State Representative,46,LISA HEDDENS,Democrat,Total,11953
State Representative,46,ERIC COOPER,Libertarian Party,Total,3124
State Representative,46,OVER VOTES,,Total,46
State Representative,46,UNDER VOTES,,Total,3176
State Representative,46,SCATTERING,,Total,53
State Representative,46,TOTAL,,Total,18352
State Representative,47,SUSAN TEMERE,Democrat,Boone,284
State Representative,47,RALPH WATTS,Republican,Boone,220
State Representative,47,OVER VOTES,,Boone,0
State Representative,47,UNDER VOTES,,Boone,43
State Representative,47,SCATTERING,,Boone,0
State Representative,47,TOTAL,,Boone,547
State Representative,47,SUSAN TEMERE,Democrat,Dallas,9972
State Representative,47,RALPH WATTS,Republican,Dallas,14891
State Representative,47,OVER VOTES,,Dallas,2
State Representative,47,UNDER VOTES,,Dallas,2185
State Representative,47,SCATTERING,,Dallas,28
State Representative,47,TOTAL,,Dallas,27078
State Representative,47,SUSAN TEMERE,Democrat,Total,10256
State Representative,47,RALPH WATTS,Republican,Total,15111
State Representative,47,OVER VOTES,,Total,2
State Representative,47,UNDER VOTES,,Total,2228
State Representative,47,SCATTERING,,Total,28
State Representative,47,TOTAL,,Total,27625
State Representative,48,DONOVAN OLSON,Democrat,Boone,7859
State Representative,48,OVER VOTES,,Boone,0
State Representative,48,UNDER VOTES,,Boone,2875
State Representative,48,SCATTERING,,Boone,196
State Representative,48,TOTAL,,Boone,10930
State Representative,48,DONOVAN OLSON,Democrat,Dallas,2389
State Representative,48,OVER VOTES,,Dallas,0
State Representative,48,UNDER VOTES,,Dallas,880
State Representative,48,SCATTERING,,Dallas,45
State Representative,48,TOTAL,,Dallas,3314
State Representative,48,DONOVAN OLSON,Democrat,Total,10248
State Representative,48,OVER VOTES,,Total,0
State Representative,48,UNDER VOTES,,Total,3755
State Representative,48,SCATTERING,,Total,241
State Representative,48,TOTAL,,Total,14244
State Representative,49,HELEN MILLER,Democrat,Webster,7901
State Representative,49,MICHAEL J. LITTZEN,Republican,Webster,5338
State Representative,49,OVER VOTES,,Webster,9
State Representative,49,UNDER VOTES,,Webster,579
State Representative,49,SCATTERING,,Webster,12
State Representative,49,TOTAL,,Webster,13839
State Representative,49,HELEN MILLER,Democrat,Total,7901
State Representative,49,MICHAEL J. LITTZEN,Republican,Total,5338
State Representative,49,OVER VOTES,,Total,9
State Representative,49,UNDER VOTES,,Total,579
State Representative,49,SCATTERING,,Total,12
State Representative,49,TOTAL,,Total,13839
State Representative,50,LYNNE GENTRY,Democrat,Calhoun,2120
State Representative,50,DAVID A. TJEPKES,Republican,Calhoun,2892
State Representative,50,OVER VOTES,,Calhoun,2
State Representative,50,UNDER VOTES,,Calhoun,213
State Representative,50,SCATTERING,,Calhoun,3
State Representative,50,TOTAL,,Calhoun,5230
State Representative,50,LYNNE GENTRY,Democrat,Greene,1529
State Representative,50,DAVID A. TJEPKES,Republican,Greene,3069
State Representative,50,OVER VOTES,,Greene,0
State Representative,50,UNDER VOTES,,Greene,258
State Representative,50,SCATTERING,,Greene,2
State Representative,50,TOTAL,,Greene,4858
State Representative,50,LYNNE GENTRY,Democrat,Webster,870
State Representative,50,DAVID A. TJEPKES,Republican,Webster,2234
State Representative,50,OVER VOTES,,Webster,0
State Representative,50,UNDER VOTES,,Webster,110
State Representative,50,SCATTERING,,Webster,2
State Representative,50,TOTAL,,Webster,3216
State Representative,50,LYNNE GENTRY,Democrat,Total,4519
State Representative,50,DAVID A. TJEPKES,Republican,Total,8195
State Representative,50,OVER VOTES,,Total,2
State Representative,50,UNDER VOTES,,Total,581
State Representative,50,SCATTERING,,Total,7
State Representative,50,TOTAL,,Total,13304
State Representative,51,ROD ROBERTS,Republican,Carroll,7569
State Representative,51,OVER VOTES,,Carroll,0
State Representative,51,UNDER VOTES,,Carroll,2843
State Representative,51,SCATTERING,,Carroll,82
State Representative,51,TOTAL,,Carroll,10494
State Representative,51,ROD ROBERTS,Republican,Crawford,1493
State Representative,51,OVER VOTES,,Crawford,0
State Representative,51,UNDER VOTES,,Crawford,717
State Representative,51,SCATTERING,,Crawford,4
State Representative,51,TOTAL,,Crawford,2214
State Representative,51,ROD ROBERTS,Republican,Sac,958
State Representative,51,OVER VOTES,,Sac,0
State Representative,51,UNDER VOTES,,Sac,0
State Representative,51,SCATTERING,,Sac,4
State Representative,51,TOTAL,,Sac,962
State Representative,51,ROD ROBERTS,Republican,Total,10020
State Representative,51,OVER VOTES,,Total,0
State Representative,51,UNDER VOTES,,Total,3560
State Representative,51,SCATTERING,,Total,90
State Representative,51,TOTAL,,Total,13670
State Representative,52,RUSSELL P. CAMERER,Democrat,Buena Vista,2654
State Representative,52,GARY WORTHAN,Republican,Buena Vista,5132
State Representative,52,OVER VOTES,,Buena Vista,3
State Representative,52,UNDER VOTES,,Buena Vista,692
State Representative,52,SCATTERING,,Buena Vista,13
State Representative,52,TOTAL,,Buena Vista,8494
State Representative,52,RUSSELL P. CAMERER,Democrat,Sac,1189
State Representative,52,GARY WORTHAN,Republican,Sac,2230
State Representative,52,OVER VOTES,,Sac,0
State Representative,52,UNDER VOTES,,Sac,0
State Representative,52,SCATTERING,,Sac,4
State Representative,52,TOTAL,,Sac,3423
State Representative,52,RUSSELL P. CAMERER,Democrat,Total,3843
State Representative,52,GARY WORTHAN,Republican,Total,7362
State Representative,52,OVER VOTES,,Total,3
State Representative,52,UNDER VOTES,,Total,692
State Representative,52,SCATTERING,,Total,17
State Representative,52,TOTAL,,Total,11917
State Representative,53,LORI SOKOLOWSKI,Democrat,Cherokee,2706
State Representative,53,DAN HUSEMAN,Republican,Cherokee,3570
State Representative,53,OVER VOTES,,Cherokee,0
State Representative,53,UNDER VOTES,,Cherokee,0
State Representative,53,SCATTERING,,Cherokee,1
State Representative,53,TOTAL,,Cherokee,6277
State Representative,53,LORI SOKOLOWSKI,Democrat,Plymouth,1413
State Representative,53,DAN HUSEMAN,Republican,Plymouth,2140
State Representative,53,OVER VOTES,,Plymouth,0
State Representative,53,UNDER VOTES,,Plymouth,0
State Representative,53,SCATTERING,,Plymouth,1
State Representative,53,TOTAL,,Plymouth,3554
State Representative,53,LORI SOKOLOWSKI,Democrat,Woodbury,1975
State Representative,53,DAN HUSEMAN,Republican,Woodbury,2822
State Representative,53,OVER VOTES,,Woodbury,0
State Representative,53,UNDER VOTES,,Woodbury,0
State Representative,53,SCATTERING,,Woodbury,7
State Representative,53,TOTAL,,Woodbury,4804
State Representative,53,LORI SOKOLOWSKI,Democrat,Total,6094
State Representative,53,DAN HUSEMAN,Republican,Total,8532
State Representative,53,OVER VOTES,,Total,0
State Representative,53,UNDER VOTES,,Total,0
State Representative,53,SCATTERING,,Total,9
State Representative,53,TOTAL,,Total,14635
State Representative,54,CARLOS VENABLE- RIDLEY,Democrat,Woodbury,5786
State Representative,54,CHRISTOPHER RANTS,Republican,Woodbury,7885
State Representative,54,OVER VOTES,,Woodbury,0
State Representative,54,UNDER VOTES,,Woodbury,0
State Representative,54,SCATTERING,,Woodbury,14
State Representative,54,TOTAL,,Woodbury,13685
State Representative,54,CARLOS VENABLE- RIDLEY,Democrat,Total,5786
State Representative,54,CHRISTOPHER RANTS,Republican,Total,7885
State Representative,54,OVER VOTES,,Total,0
State Representative,54,UNDER VOTES,,Total,0
State Representative,54,SCATTERING,,Total,14
State Representative,54,TOTAL,,Total,13685
State Representative,55,JASON SCHULTZ,Republican,Crawford,3436
State Representative,55,OVER VOTES,,Crawford,0
State Representative,55,UNDER VOTES,,Crawford,1568
State Representative,55,SCATTERING,,Crawford,62
State Representative,55,TOTAL,,Crawford,5066
State Representative,55,JASON SCHULTZ,Republican,Ida,2656
State Representative,55,OVER VOTES,,Ida,0
State Representative,55,UNDER VOTES,,Ida,0
State Representative,55,SCATTERING,,Ida,38
State Representative,55,TOTAL,,Ida,2694
State Representative,55,JASON SCHULTZ,Republican,Monona,799
State Representative,55,OVER VOTES,,Monona,0
State Representative,55,UNDER VOTES,,Monona,0
State Representative,55,SCATTERING,,Monona,10
State Representative,55,TOTAL,,Monona,809
State Representative,55,JASON SCHULTZ,Republican,Woodbury,2111
State Representative,55,OVER VOTES,,Woodbury,0
State Representative,55,UNDER VOTES,,Woodbury,0
State Representative,55,SCATTERING,,Woodbury,26
State Representative,55,TOTAL,,Woodbury,2137
State Representative,55,JASON SCHULTZ,Republican,Total,9002
State Representative,55,OVER VOTES,,Total,0
State Representative,55,UNDER VOTES,,Total,1568
State Representative,55,SCATTERING,,Total,136
State Representative,55,TOTAL,,Total,10706
State Representative,56,MATT WINDSCHITL,Republican,Harrison,4245
State Representative,56,JAN CREASMAN,Democrat,Harrison,3011
State Representative,56,OVER VOTES,,Harrison,0
State Representative,56,UNDER VOTES,,Harrison,367
State Representative,56,SCATTERING,,Harrison,14
State Representative,56,TOTAL,,Harrison,7637
State Representative,56,MATT WINDSCHITL,Republican,Monona,1985
State Representative,56,JAN CREASMAN,Democrat,Monona,1424
State Representative,56,OVER VOTES,,Monona,0
State Representative,56,UNDER VOTES,,Monona,0
State Representative,56,SCATTERING,,Monona,0
State Representative,56,TOTAL,,Monona,3409
State Representative,56,MATT WINDSCHITL,Republican,Pottawattamie,1936
State Representative,56,JAN CREASMAN,Democrat,Pottawattamie,1291
State Representative,56,OVER VOTES,,Pottawattamie,0
State Representative,56,UNDER VOTES,,Pottawattamie,390
State Representative,56,SCATTERING,,Pottawattamie,2
State Representative,56,TOTAL,,Pottawattamie,3619
State Representative,56,MATT WINDSCHITL,Republican,Total,8166
State Representative,56,JAN CREASMAN,Democrat,Total,5726
State Representative,56,OVER VOTES,,Total,0
State Representative,56,UNDER VOTES,,Total,757
State Representative,56,SCATTERING,,Total,16
State Representative,56,TOTAL,,Total,14665
State Representative,57,JACK DRAKE,Republican,Cass,3773
State Representative,57,RON ROSMANN,Democrat,Cass,1997
State Representative,57,OVER VOTES,,Cass,1
State Representative,57,UNDER VOTES,,Cass,272
State Representative,57,SCATTERING,,Cass,5
State Representative,57,TOTAL,,Cass,6048
State Representative,57,JACK DRAKE,Republican,Pottawattamie,1361
State Representative,57,RON ROSMANN,Democrat,Pottawattamie,710
State Representative,57,OVER VOTES,,Pottawattamie,0
State Representative,57,UNDER VOTES,,Pottawattamie,72
State Representative,57,SCATTERING,,Pottawattamie,3
State Representative,57,TOTAL,,Pottawattamie,2146
State Representative,57,JACK DRAKE,Republican,Shelby,3183
State Representative,57,RON ROSMANN,Democrat,Shelby,3128
State Representative,57,OVER VOTES,,Shelby,1
State Representative,57,UNDER VOTES,,Shelby,0
State Representative,57,SCATTERING,,Shelby,4
State Representative,57,TOTAL,,Shelby,6316
State Representative,57,JACK DRAKE,Republican,Total,8317
State Representative,57,RON ROSMANN,Democrat,Total,5835
State Representative,57,OVER VOTES,,Total,2
State Representative,57,UNDER VOTES,,Total,344
State Representative,57,SCATTERING,,Total,12
State Representative,57,TOTAL,,Total,14510
State Representative,58,CHRISTOPHER NELSON,Democrat,Adair,1485
State Representative,58,CLEL BAUDLER,Republican,Adair,2522
State Representative,58,OVER VOTES,,Adair,0
State Representative,58,UNDER VOTES,,Adair,0
State Representative,58,SCATTERING,,Adair,3
State Representative,58,TOTAL,,Adair,4010
State Representative,58,CHRISTOPHER NELSON,Democrat,Audubon,1501
State Representative,58,CLEL BAUDLER,Republican,Audubon,1707
State Representative,58,OVER VOTES,,Audubon,2
State Representative,58,UNDER VOTES,,Audubon,249
State Representative,58,SCATTERING,,Audubon,1
State Representative,58,TOTAL,,Audubon,3460
State Representative,58,CHRISTOPHER NELSON,Democrat,Cass,501
State Representative,58,CLEL BAUDLER,Republican,Cass,788
State Representative,58,OVER VOTES,,Cass,0
State Representative,58,UNDER VOTES,,Cass,69
State Representative,58,SCATTERING,,Cass,1
State Representative,58,TOTAL,,Cass,1359
State Representative,58,CHRISTOPHER NELSON,Democrat,Guthrie,2409
State Representative,58,CLEL BAUDLER,Republican,Guthrie,3239
State Representative,58,OVER VOTES,,Guthrie,3
State Representative,58,UNDER VOTES,,Guthrie,0
State Representative,58,SCATTERING,,Guthrie,0
State Representative,58,TOTAL,,Guthrie,5651
State Representative,58,CHRISTOPHER NELSON,Democrat,Total,5896
State Representative,58,CLEL BAUDLER,Republican,Total,8256
State Representative,58,OVER VOTES,,Total,5
State Representative,58,UNDER VOTES,,Total,318
State Representative,58,SCATTERING,,Total,5
State Representative,58,TOTAL,,Total,14480
State Representative,59,JERRY SULLIVAN,Democrat,Polk,8147
